Date,Zone,AgeGroup,Count
2020-03-25,1,30-39,1
2020-03-25,1,50-59,1
2020-03-25,1,60-69,1
2020-03-25,2,<20,1
2020-03-25,2,20-29,1
2020-03-25,2,50-59,1
2020-03-25,3,30-39,1
2020-03-25,4,30-39,1
2020-03-26,1,20-29,1
2020-03-26,1,60-69,2
2020-03-26,2,30-39,1
2020-03-26,3,50-59,1
2020-03-26,3,60-69,2
2020-03-27,1,30-39,1
2020-03-27,1,60-69,1
2020-03-27,1,70-79,2
2020-03-27,2,20-29,1
2020-03-27,3,<20,2
2020-03-27,3,30-39,1
2020-03-27,4,20-29,2
2020-03-27,4,30-39,1
2020-03-27,5,20-29,1
2020-03-28,1,50-59,1
2020-03-28,1,70-79,1
2020-03-28,2,20-29,2
2020-03-28,2,50-59,1
2020-03-28,2,70-79,1
2020-03-31,3,60-69,1
2020-03-31,4,20-29,1
2020-04-01,1,20-29,1
2020-04-01,1,50-59,1
2020-04-01,2,40-49,1
2020-04-01,2,50-59,1
2020-04-01,2,60-69,1
2020-04-01,3,30-39,1
2020-04-01,3,40-49,1
2020-04-01,3,50-59,2
2020-04-01,5,50-59,1
2020-04-01,5,60-69,1
2020-04-02,2,70-79,1
2020-04-02,3,20-29,1
2020-04-02,3,30-39,1
2020-04-02,3,50-59,2
2020-04-02,3,60-69,2
2020-04-02,4,70-79,2
2020-04-02,7,20-29,1
2020-04-03,3,30-39,1
2020-04-03,3,40-49,1
2020-04-03,3,60-69,1
2020-04-03,5,30-39,1
2020-04-04,3,20-29,1
2020-04-04,3,30-39,1
2020-04-04,3,50-59,1
2020-04-05,1,40-49,1
2020-04-05,2,30-39,1
2020-04-05,3,50-59,1
2020-04-06,1,20-29,1
2020-04-06,1,40-49,1
2020-04-07,3,<20,1
2020-04-07,7,70-79,1
2020-04-08,3,60-69,2
2020-04-08,6,80-89,1
2020-04-10,2,60-69,1
2020-04-12,2,60-69,1
2020-04-12,2,70-79,1
2020-04-13,3,40-49,1
2020-04-13,5,50-59,1
2020-04-15,5,40-49,1
2020-04-18,3,30-39,1
2020-05-06,2,20-29,1
2020-05-21,5,<20,1
2020-05-26,5,90+,1
2020-05-27,5,50-59,1
2020-05-28,5,<20,1
2020-05-28,5,40-49,1
2020-05-28,5,90+,1
2020-05-29,5,30-39,1
2020-05-29,5,60-69,1
2020-05-30,5,70-79,1
2020-05-31,5,80-89,3
2020-06-02,5,80-89,1
2020-06-03,5,40-49,1
2020-06-03,5,60-69,1
2020-06-04,5,20-29,1
2020-06-07,5,90+,1
2020-06-08,5,60-69,2
2020-06-08,5,70-79,4
2020-06-08,5,80-89,1
2020-06-08,5,90+,2
2020-06-09,1,20-29,1
2020-06-10,5,50-59,2
2020-06-10,5,80-89,2
2020-06-11,5,30-39,1
2020-06-11,5,40-49,1
2020-06-12,5,40-49,1
2020-06-13,5,20-29,1
2020-06-13,5,30-39,1
2020-06-13,5,50-59,1
2020-06-15,1,20-29,1
2020-06-15,1,30-39,1
2020-06-15,5,20-29,1
2020-06-16,5,20-29,1
2020-06-16,5,50-59,2
2020-06-17,5,20-29,1
2020-06-20,5,50-59,1
2020-06-23,1,50-59,1
2020-07-09,3,40-49,1
2020-07-14,1,20-29,1
2020-07-15,1,20-29,1
2020-07-20,3,20-29,1
2020-08-06,1,40-49,1
2020-08-06,1,50-59,1
2020-08-11,3,40-49,1
2020-08-12,3,60-69,1
2020-08-13,1,30-39,1
2020-08-13,1,50-59,1
2020-08-15,1,40-49,2
2020-08-15,3,<20,2
2020-08-16,1,<20,2
2020-08-21,3,50-59,1
2020-08-21,6,20-29,1
2020-08-25,1,<20,1
2020-08-28,2,<20,1
2020-09-02,1,20-29,1
2020-09-14,1,20-29,1
2020-09-21,1,20-29,2
2020-09-23,7,60-69,1
2020-09-24,1,60-69,1
2020-09-24,3,40-49,1
2020-09-25,6,30-39,1
2020-10-03,2,20-29,1
2020-10-05,1,20-29,1
2020-10-05,2,60-69,1
2020-10-06,1,70-79,1
2020-10-06,1,80-89,1
2020-10-07,1,20-29,2
2020-10-07,1,40-49,3
2020-10-07,1,50-59,1
2020-10-07,1,60-69,2
2020-10-07,1,70-79,5
2020-10-07,1,80-89,2
2020-10-07,1,90+,2
2020-10-09,1,20-29,1
2020-10-09,1,30-39,1
2020-10-09,1,40-49,5
2020-10-09,1,50-59,1
2020-10-09,1,60-69,4
2020-10-09,1,70-79,1
2020-10-10,1,20-29,1
2020-10-10,1,60-69,2
2020-10-10,1,70-79,2
2020-10-10,1,80-89,4
2020-10-10,1,90+,3
2020-10-10,3,50-59,1
2020-10-10,5,<20,1
2020-10-10,5,20-29,1
2020-10-10,5,30-39,1
2020-10-10,5,50-59,1
2020-10-10,5,60-69,2
2020-10-10,5,70-79,1
2020-10-11,1,70-79,4
2020-10-11,5,30-39,3
2020-10-11,5,50-59,2
2020-10-11,5,60-69,5
2020-10-12,1,50-59,1
2020-10-12,1,70-79,1
2020-10-12,1,80-89,1
2020-10-12,5,<20,1
2020-10-12,5,20-29,1
2020-10-12,5,60-69,1
2020-10-13,1,70-79,1
2020-10-13,5,<20,1
2020-10-13,5,30-39,1
2020-10-13,5,50-59,1
2020-10-13,5,60-69,2
2020-10-14,1,60-69,1
2020-10-14,1,70-79,1
2020-10-14,5,30-39,1
2020-10-14,5,40-49,2
2020-10-14,5,50-59,2
2020-10-14,5,60-69,1
2020-10-16,5,<20,2
2020-10-16,5,20-29,1
2020-10-16,5,50-59,2
2020-10-17,1,<20,1
2020-10-17,2,30-39,1
2020-10-17,5,<20,1
2020-10-17,5,40-49,1
2020-10-17,5,50-59,2
2020-10-17,5,60-69,2
2020-10-18,1,70-79,1
2020-10-18,1,80-89,1
2020-10-18,5,<20,1
2020-10-18,5,50-59,1
2020-10-18,5,60-69,1
2020-10-19,5,<20,1
2020-10-19,5,40-49,1
2020-10-19,5,60-69,1
2020-10-21,5,<20,1
2020-10-21,5,30-39,1
2020-10-21,5,40-49,2
2020-10-21,5,50-59,1
2020-10-21,5,60-69,1
2020-10-22,5,40-49,1
2020-10-22,5,50-59,2
2020-10-23,5,40-49,1
2020-10-23,5,70-79,1
2020-10-24,5,20-29,1
2020-10-24,5,50-59,1
2020-10-25,3,20-29,1
2020-10-25,5,40-49,1
2020-10-26,3,70-79,2
2020-10-26,5,60-69,1
2020-10-27,5,50-59,2
2020-10-27,5,80-89,1
2020-10-28,3,20-29,2
2020-10-28,5,70-79,1
2020-10-29,1,60-69,1
2020-10-29,5,50-59,1
2020-10-29,5,60-69,2
2020-10-30,3,40-49,1
2020-10-31,3,<20,1
2020-11-01,3,30-39,1
2020-11-04,2,20-29,1
2020-11-04,6,50-59,1
2020-11-04,7,30-39,1
2020-11-05,3,30-39,2
2020-11-06,5,<20,1
2020-11-07,3,20-29,1
2020-11-07,3,50-59,2
2020-11-08,3,30-39,1
2020-11-09,1,30-39,1
2020-11-12,1,30-39,1
2020-11-13,1,20-29,1
2020-11-13,2,<20,1
2020-11-14,1,<20,1
2020-11-14,1,20-29,2
2020-11-14,1,30-39,1
2020-11-14,2,50-59,1
2020-11-14,3,30-39,1
2020-11-15,1,20-29,1
2020-11-15,2,20-29,1
2020-11-15,3,70-79,1
2020-11-16,1,<20,1
2020-11-16,1,20-29,3
2020-11-16,1,30-39,1
2020-11-16,1,40-49,1
2020-11-16,3,20-29,2
2020-11-17,1,20-29,2
2020-11-17,1,30-39,1
2020-11-17,3,20-29,1
2020-11-18,1,20-29,3
2020-11-18,1,30-39,1
2020-11-18,1,40-49,1
2020-11-18,2,20-29,1
2020-11-18,2,30-39,1
2020-11-18,3,30-39,1
2020-11-18,6,50-59,1
2020-11-19,1,<20,1
2020-11-19,1,20-29,2
2020-11-19,2,30-39,1
2020-11-20,1,<20,1
2020-11-20,1,20-29,1
2020-11-20,2,20-29,1
2020-11-20,2,40-49,3
2020-11-20,2,50-59,1
2020-11-20,2,60-69,1
2020-11-20,2,70-79,1
2020-11-21,1,<20,1
2020-11-21,1,20-29,1
2020-11-21,1,30-39,3
2020-11-21,1,60-69,1
2020-11-21,2,<20,2
2020-11-21,2,20-29,3
2020-11-21,2,30-39,1
2020-11-21,2,40-49,5
2020-11-21,2,50-59,2
2020-11-21,2,60-69,1
2020-11-21,2,80-89,2
2020-11-21,3,30-39,1
2020-11-22,2,<20,3
2020-11-22,2,20-29,2
2020-11-22,3,30-39,1
2020-11-23,1,20-29,2
2020-11-23,1,50-59,1
2020-11-23,2,<20,3
2020-11-23,2,20-29,3
2020-11-23,2,30-39,1
2020-11-23,2,40-49,2
2020-11-23,2,70-79,1
2020-11-23,2,80-89,1
2020-11-23,3,<20,1
2020-11-24,1,20-29,2
2020-11-24,2,<20,2
2020-11-24,2,30-39,1
2020-11-25,2,50-59,1
2020-11-25,2,70-79,1
2020-11-25,6,30-39,1
2020-11-26,1,20-29,1
2020-11-26,2,<20,1
2020-11-26,2,20-29,1
2020-11-26,2,40-49,3
2020-11-26,2,60-69,1
2020-11-26,2,80-89,1
2020-11-26,2,90+,1
2020-11-26,3,<20,2
2020-11-26,3,20-29,1
2020-11-27,1,50-59,2
2020-11-27,1,60-69,1
2020-11-27,2,20-29,3
2020-11-27,2,30-39,4
2020-11-27,3,60-69,2
2020-11-28,3,<20,1
2020-11-28,3,20-29,3
2020-11-29,1,<20,1
2020-11-29,1,20-29,1
2020-11-29,1,40-49,2
2020-11-29,2,<20,3
2020-11-29,2,30-39,1
2020-11-29,2,50-59,1
2020-11-29,2,80-89,2
2020-11-29,2,90+,2
2020-11-29,6,30-39,1
2020-11-30,1,20-29,2
2020-11-30,2,20-29,1
2020-11-30,2,30-39,1
2020-11-30,3,60-69,1
2020-11-30,6,40-49,1
2020-12-01,2,<20,1
2020-12-01,2,20-29,1
2020-12-01,2,50-59,2
2020-12-01,3,<20,1
2020-12-01,3,50-59,1
2020-12-01,3,60-69,1
2020-12-02,1,50-59,1
2020-12-02,2,<20,1
2020-12-02,3,<20,1
2020-12-02,4,40-49,1
2020-12-02,6,50-59,1
2020-12-02,6,60-69,1
2020-12-03,1,30-39,1
2020-12-03,2,<20,1
2020-12-03,2,30-39,1
2020-12-03,2,60-69,1
2020-12-03,3,60-69,2
2020-12-04,1,30-39,1
2020-12-04,2,50-59,1
2020-12-04,2,60-69,1
2020-12-04,3,60-69,1
2020-12-04,4,<20,3
2020-12-04,4,40-49,1
2020-12-05,2,50-59,1
2020-12-05,4,40-49,1
2020-12-06,1,<20,1
2020-12-06,2,60-69,1
2020-12-06,2,90+,1
2020-12-06,4,60-69,1
2020-12-07,3,40-49,1
2020-12-07,4,70-79,1
2020-12-08,2,30-39,1
2020-12-08,3,<20,2
2020-12-08,3,40-49,1
2020-12-08,3,70-79,1
2020-12-09,2,30-39,1
2020-12-10,2,30-39,1
2020-12-10,4,20-29,1
2020-12-10,4,30-39,1
2020-12-10,4,40-49,1
2020-12-11,3,30-39,1
2020-12-11,3,60-69,1
2020-12-11,4,30-39,1
2020-12-11,4,40-49,1
2020-12-11,4,50-59,3
2020-12-11,4,60-69,1
2020-12-12,2,20-29,1
2020-12-13,3,60-69,2
2020-12-14,1,60-69,1
2020-12-15,4,40-49,1
2020-12-16,1,20-29,1
2020-12-16,3,<20,2
2020-12-16,3,20-29,1
2020-12-16,3,30-39,2
2020-12-16,4,20-29,1
2020-12-16,4,30-39,1
2020-12-17,1,<20,1
2020-12-17,1,60-69,1
2020-12-17,2,40-49,1
2020-12-17,4,<20,2
2020-12-17,4,40-49,1
2020-12-19,1,70-79,1
2020-12-19,2,30-39,1
2020-12-19,2,60-69,1
2020-12-19,4,40-49,1
2020-12-19,6,20-29,1
2020-12-21,3,20-29,1
2020-12-21,3,50-59,2
2020-12-21,4,20-29,1
2020-12-22,1,20-29,1
2020-12-22,1,60-69,1
2020-12-23,3,<20,1
2020-12-23,3,60-69,1
2020-12-23,5,20-29,1
2020-12-23,6,50-59,1
2020-12-23,7,50-59,1
2020-12-24,1,20-29,1
2020-12-24,6,50-59,1
2020-12-25,2,40-49,1
2020-12-28,3,50-59,1
2020-12-29,4,20-29,1
2020-12-29,6,50-59,1
2020-12-30,3,30-39,1
2020-12-31,3,40-49,3
2021-01-01,3,60-69,1
2021-01-01,3,70-79,1
2021-01-02,3,<20,3
2021-01-02,3,20-29,2
2021-01-02,3,30-39,1
2021-01-02,3,40-49,1
2021-01-02,3,50-59,1
2021-01-02,3,60-69,1
2021-01-02,3,70-79,1
2021-01-03,1,30-39,1
2021-01-03,1,60-69,3
2021-01-03,1,70-79,1
2021-01-03,1,80-89,1
2021-01-03,5,50-59,1
2021-01-04,1,<20,2
2021-01-04,1,20-29,4
2021-01-04,1,30-39,2
2021-01-04,1,40-49,1
2021-01-04,1,50-59,1
2021-01-04,1,60-69,1
2021-01-04,1,80-89,1
2021-01-04,3,20-29,1
2021-01-04,3,60-69,2
2021-01-04,5,20-29,1
2021-01-04,5,70-79,1
2021-01-05,1,<20,1
2021-01-05,1,20-29,6
2021-01-05,1,30-39,1
2021-01-05,1,50-59,1
2021-01-05,2,<20,1
2021-01-05,2,40-49,1
2021-01-05,2,90+,1
2021-01-05,3,<20,2
2021-01-05,3,20-29,1
2021-01-05,3,30-39,2
2021-01-05,3,40-49,2
2021-01-05,3,50-59,3
2021-01-05,3,60-69,1
2021-01-05,4,20-29,1
2021-01-05,4,50-59,1
2021-01-05,5,50-59,2
2021-01-06,1,<20,1
2021-01-06,1,20-29,3
2021-01-06,1,60-69,1
2021-01-06,1,80-89,1
2021-01-06,2,30-39,1
2021-01-06,2,40-49,1
2021-01-06,2,50-59,3
2021-01-06,2,60-69,3
2021-01-06,2,70-79,7
2021-01-06,2,80-89,2
2021-01-06,2,90+,1
2021-01-06,3,40-49,3
2021-01-06,4,60-69,1
2021-01-06,5,<20,1
2021-01-06,5,40-49,1
2021-01-06,5,50-59,1
2021-01-07,1,<20,1
2021-01-07,1,20-29,3
2021-01-07,1,30-39,1
2021-01-07,2,20-29,1
2021-01-07,2,50-59,1
2021-01-07,3,<20,1
2021-01-07,3,30-39,5
2021-01-07,3,50-59,1
2021-01-07,4,20-29,2
2021-01-07,4,40-49,2
2021-01-07,4,70-79,1
2021-01-07,5,30-39,2
2021-01-07,5,40-49,2
2021-01-07,5,50-59,1
2021-01-08,2,<20,2
2021-01-08,2,20-29,1
2021-01-08,2,30-39,1
2021-01-08,2,40-49,2
2021-01-08,2,70-79,1
2021-01-08,2,80-89,1
2021-01-08,3,<20,4
2021-01-08,3,30-39,1
2021-01-08,3,50-59,2
2021-01-08,4,20-29,1
2021-01-08,4,50-59,1
2021-01-08,5,50-59,1
2021-01-09,1,<20,1
2021-01-09,1,20-29,3
2021-01-09,1,30-39,1
2021-01-09,1,50-59,1
2021-01-09,2,20-29,2
2021-01-09,2,40-49,1
2021-01-09,3,<20,3
2021-01-09,3,30-39,3
2021-01-09,3,40-49,2
2021-01-09,4,20-29,1
2021-01-09,4,50-59,1
2021-01-09,4,60-69,4
2021-01-09,4,70-79,1
2021-01-09,5,<20,1
2021-01-09,5,40-49,2
2021-01-09,5,50-59,2
2021-01-09,5,60-69,1
2021-01-10,2,30-39,2
2021-01-10,2,40-49,1
2021-01-10,2,80-89,1
2021-01-10,3,<20,2
2021-01-10,3,20-29,1
2021-01-10,3,30-39,2
2021-01-10,4,20-29,2
2021-01-10,4,50-59,1
2021-01-10,5,50-59,1
2021-01-10,6,20-29,1
2021-01-11,1,<20,2
2021-01-11,1,20-29,1
2021-01-11,1,30-39,1
2021-01-11,3,<20,1
2021-01-11,3,20-29,1
2021-01-11,3,30-39,2
2021-01-11,3,40-49,1
2021-01-11,3,60-69,1
2021-01-11,3,80-89,1
2021-01-11,4,50-59,3
2021-01-11,4,60-69,3
